"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"3B/OF","Lonnie Chisenhall",2800,"Cle@TB 07:10PM ET",0,"Cle"
"OF","Chris Heisey",2800,"Atl@Was 07:05PM ET",2.000,"Was"
"OF","Brandon Guyer",2800,"Cle@TB 07:10PM ET",1.667,"TB"
"2B/SS","Christian Colón",2800,"KC@Hou 08:10PM ET",5.000,"KC"
"2B","Ryan Flaherty",2800,"Bal@Bos 07:10PM ET",0.000,"Bal"
"OF","Leonys Martín",2800,"Tex@Sea 10:10PM ET",7.571,"Sea"
"C","Christian Bethancourt",2800,"SD@Phi 07:05PM ET",4.000,"SD"
"SS","Adeiny Hechavarria",2800,"Mia@NYM 07:10PM ET",7.800,"Mia"
"C","Curt Casali",2800,"Cle@TB 07:10PM ET",1.500,"TB"
"OF","Brandon Barnes",2700,"SF@Col 08:40PM ET",3.250,"Col"
"C","Hank Conger",2700,"Cle@TB 07:10PM ET",1.333,"TB"
"C","Steve Clevenger",2700,"Tex@Sea 10:10PM ET",0.000,"Sea"
"OF","Craig Gentry",2700,"LAA@Oak 10:05PM ET",3.500,"LAA"
"2B","Eric Sogard",2700,"LAA@Oak 10:05PM ET",0,"Oak"
"1B","Austin Romine",2700,"NYY@Tor 07:07PM ET",1.000,"NYY"
"OF","Abraham Almonte",2700,"Cle@TB 07:10PM ET",0,"Cle"
"2B/SS","Tim Beckham",2700,"Cle@TB 07:10PM ET",5.000,"TB"
"2B/SS","Cristhian Adames",2700,"SF@Col 08:40PM ET",0.500,"Col"
"2B/3B","Ronald Torreyes",2700,"NYY@Tor 07:07PM ET",12.500,"NYY"
"OF","Ryan Rua",2700,"Tex@Sea 10:10PM ET",6.000,"Tex"
"C","Trevor Brown",2700,"SF@Col 08:40PM ET",8.000,"SF"
"C","José Lobatón",2600,"Atl@Was 07:05PM ET",0,"Was"
"C","Chris Giménez",2600,"Tex@Sea 10:10PM ET",0,"Tex"
"C","Tyler Flowers",2600,"Atl@Was 07:05PM ET",8.000,"Atl"
"SS","Alexi Amarista",2600,"SD@Phi 07:05PM ET",7.000,"SD"
"C","Carlos Pérez",2600,"LAA@Oak 10:05PM ET",3.167,"LAA"
"OF","Jeff Francoeur",2500,"Atl@Was 07:05PM ET",1.000,"Atl"
"OF","Drew Stubbs",2500,"Atl@Was 07:05PM ET",8.000,"Atl"
"2B/SS","Emmanuel Burriss",2500,"SD@Phi 07:05PM ET",0.000,"Phi"
"OF","Juan Lagares",2500,"Mia@NYM 07:10PM ET",2.667,"NYM"
"3B","Gordon Beckham",2500,"Atl@Was 07:05PM ET",2.200,"Atl"
"3B/SS","Miguel Rojas",2500,"Mia@NYM 07:10PM ET",0.000,"Mia"
"C","Max Stassi",2500,"KC@Hou 08:10PM ET",0,"Hou"
"2B/SS","Ryan Goins",2500,"NYY@Tor 07:07PM ET",3.429,"Tor"
"OF","Ichiro Suzuki",2400,"Mia@NYM 07:10PM ET",0.000,"Mia"
"1B/3B","Chris Johnson",2400,"Mia@NYM 07:10PM ET",4.000,"Mia"
"2B","Darwin Barney",2400,"NYY@Tor 07:07PM ET",7.250,"Tor"
"OF","Collin Cowgill",2400,"Cle@TB 07:10PM ET",0.000,"Cle"
"C","Justin O'Conner",2400,"Cle@TB 07:10PM ET",0,"TB"
"2B","Hanser Alberto",2400,"Tex@Sea 10:10PM ET",0.000,"Tex"
"C","Kevin Plawecki",2400,"Mia@NYM 07:10PM ET",0.000,"NYM"
"C","Drew Butera",2200,"KC@Hou 08:10PM ET",0.000,"KC"
"2B/SS","Luis Sardiñas",2200,"Tex@Sea 10:10PM ET",7.000,"Sea"
"C","Jeff Mathis",2100,"Mia@NYM 07:10PM ET",0,"Mia"
"1B/2B","Adam Rosales",2100,"SD@Phi 07:05PM ET",5.667,"SD"
"C","Bryan Holaday",2100,"Tex@Sea 10:10PM ET",3.000,"Tex"
"C","Tony Wolters",2100,"SF@Col 08:40PM ET",3.000,"Col"
"2B","Ryan Brett",2100,"Cle@TB 07:10PM ET",0,"TB"
"2B/SS","Rafael Furcal",2000,"Mia@NYM 07:10PM ET",0,"Mia"
"1B/OF","Michael Cuddyer",2000,"Mia@NYM 07:10PM ET",0,"NYM"
"2B","Marco Scutaro",2000,"SF@Col 08:40PM ET",0,"SF"
